sno,username,vehicle_no,rf_id,empty_weight
2,"AVADI DUMPING YARD","TN 20 DB 8930",E28069952000400662D3666E,3480
8,"AVADI DUMPING YARD","TN 12 V 9608",E28069952000400662D72E6F,7310
10,"AVADI DUMPING YARD","TN 20 DD 4484",E28069952000400662D5B26E,3350
12,"AVADI DUMPING YARD","TN 20 CX 4156",E28069952000400662D78272,7870
13,"AVADI DUMPING YARD","TN 20 DB 5229",E28069952000500662D6CA6F,3290
14,"AVADI DUMPING YARD","TN 20 AQ 5302",E28069952000400662D4866E,4160
15,"AVADI DUMPING YARD","TN 20 DB 0247",E28069952000400662D4FE6E,3310
16,"AVADI DUMPING YARD","TN 20 DE 0351",E28069952000500662D20272,3460
17,"AVADI DUMPING YARD","TN 20 DB 6418",E28069952000400662D5E66F,3760
18,"AVADI DUMPING YARD","TN 20 DF 3202",E28069952000500662D8166F,3250
19,"AVADI DUMPING YARD","TN 20 DD 0723",E28069952000400662D4AA71,3660
20,"AVADI DUMPING YARD","TN 73 AV 7954",E28069952000500662D62670,3600
21,"AVADI DUMPING YARD","TN 19 B 4296 ",E28069952000400662D68270,8060
22,"AVADI DUMPING YARD","TN 12 V 9522",E28069952000400662D39A70,10520
23,"AVADI DUMPING YARD","TN 20 DB 0213",E28069952000400662D5826E,3590
24,"AVADI DUMPING YARD","TN 20 DB 6579",E28069952000500662D42E70,3410
25,"AVADI DUMPING YARD","TN 20 DE 7024",E28069952000500662D64A6E,3360
26,"AVADI DUMPING YARD","TN 73 P 7636",E28069952000500662D80A70,3550
27,"AVADI DUMPING YARD","TN 20 DE 0625",E28069952000500662D3726F,3370
29,"AVADI DUMPING YARD","TN 20 DE 8076",E28069952000400662D20A72,3240
30,"AVADI DUMPING YARD","TN 20 DA 7333",E28069952000400662D32A71,3350
32,"AVADI DUMPING YARD","TN 73 X 2118",invalid,3570
34,tuty,"TN 69 AF 8403(DUMPER)",E28069952000400662D6BA6F,1000
37,tuty,"TN 69 BJ 6459",E28069952000500662D81E70,1300
39,tuty,"TN 69 BF 7932",E28069952000400662D55272,1270
40,tuty,"TN 69 BE 4475",E28069952000400662D2366F,1365
41,tuty,"TN 69 BJ 6469",E28069952000500662D5A66F,1300
42,tuty,"TN 69 BJ 6462",E28069952000400662D5AE6F,1345
43,tuty,"TN 69 BF 8881",E28069952000400662D4BE71,1400
44,tuty,"TN 69 BF 7978",E28069952000500662D65270,1300
45,tuty,"TN 69 BF 8869",E28069952000400662D7EE6F,1345
46,tuty,"TN 69 BH 8578",E28069952000500662D32670,2050
47,tuty,"TN 69 BJ 6431",E28069952000500662D82270,1400
48,tuty,"TN 69 BJ 6448",E28069952000500662D6A671,1400
